색상명,RGB
Turquoise Blue,"(0, 140, 138)"
Petrol,"(0, 99, 110)"
Turquoise Green,"(0, 111, 78)"
Forest Green,"(0, 85, 46)"
Dark Green,"(0, 79, 48)"
Olive Green,"(18, 86, 23)"
Foliage Green,"(29, 86, 30)"
Emerald,"(0, 100, 44)"
Kelly Green,"(0, 116, 64)"
Green,"(0, 132, 65)"
Cactus Green,"(0, 144, 84)"
Bright Green,"(0, 148, 55)"
Light Green,"(0, 144, 53)"
Grass Green,"(55, 162, 7)"
Lime Tree Green,"(114, 194, 53)"
Lime,"(128, 204, 60)"
White,"(241, 242, 246)"
White Matt,"(244, 244, 246)"
Mist,"(203, 203, 203)"
Pale Grey,"(203, 204, 201)"
Dove Grey,"(152, 154, 148)"
Medium Grey,"(129, 138, 144)"
Tele Grey,"(144, 146, 146)"
Grey,"(95, 101, 103)"
Stone Grey,"(108, 110, 104)"
Dark Grey,"(76, 78, 78)"
Komatsu Grey,"(50, 52, 52)"
Black,"(16, 17, 20)"
Black Matt,"(43, 43, 44)"
Grey Metallic,"(70, 70, 70)"
Silver Metallic,"(185, 186, 186)"
Gold Metallic,"(182, 159, 95)"
Ivory,"(235, 220, 186)"
Light Ivory,"(233, 213, 185)"
Beige,"(231, 205, 155)"
Cream,"(245, 223, 160)"
Tan,"(174, 133, 82)"
Light Brown,"(172, 135, 92)"
Caramel,"(126, 76, 37)"
Medium Brown,"(128, 79, 40)"
Fawn Brown,"(108, 65, 33)"
Chocolate Brown,"(80, 54, 42)"
Dark Brown,"(67, 41, 29)"
Brown,"(67, 40, 34)"
Red Brown,"(95, 35, 27)"
Nut Brown,"(179, 86, 33)"
Primrose Yellow,"(245, 220, 0)"
Bright Yellow,"(251, 196, 0)"
Yellow,"(255, 193, 0)"
Sunflower Yellow,"(255, 187, 0)"
Dark Yellow,"(251, 171, 0)"
Signal Yellow,"(238, 166, 0)"
Corn Yellow,"(251, 169, 0)"
Light Orange,"(239, 101, 0)"
Orange,"(230, 96, 0)"
Bright Orange,"(231, 86, 14)"
Warm Red,"(219, 60, 5)"
Bright Red,"(206, 33, 0)"
Medium Red,"(197, 29, 20)"
Tomato Red,"(193, 18, 18)"
Geranium Red,"(183, 3, 24)"
Cherry Red,"(168, 10, 20)"
Red,"(161, 27, 24)"
Dark Red,"(131, 15, 26)"
Burgundy Red,"(105, 25, 41)"
Deep Purple,"(99, 15, 54)"
Pink,"(240, 138, 184)"
Magenta,"(209, 89, 136)"
Blossom,"(190, 57, 117)"
Cyclamen,"(180, 44, 105)"
Lilac,"(193, 149, 198)"
Lavender,"(129, 106, 173)"
Purple,"(95, 52, 109)"
Violet,"(93, 59, 134)"
Cobalt Blue,"(22, 24, 62)"
Dark Blue,"(21, 37, 93)"
Royal Blue,"(25, 43, 110)"
Navy Blue,"(34, 55, 99)"
Marine Blue,"(14, 51, 115)"
Vivid Blue,"(7, 55, 125)"
Sapphire Blue,"(30, 54, 127)"
Standard Blue,"(0, 72, 128)"
Brillant Blue,"(29, 73, 157)"
Cosmos Blue,"(0, 82, 151)"
Scuba Blue,"(0, 100, 172)"
Intense Blue,"(0, 115, 185)"
Ocean Blue,"(0, 135, 189)"
Bright Blue,"(0, 153, 206)"
