색상명,RGB
White,"(255, 255, 255)"
Off White,"(250, 249, 246)"
Ivory,"(255, 255, 240)"
Ghost White,"(248, 248, 255)"
White Smoke,"(245, 245, 245)"
Baby Powder,"(254, 254, 250)"
White Lilac,"(238, 238, 240)"
Solitude,"(229, 230, 234)"
